id,name,city,contact,dob,gender,address
1,Aarav Sharma,Mumbai,9246253824,2004-09-08,Female,1 Danilimda Road
2,Aarav Verma,Ahmedabad,9618310414,2004-07-23,Male,60 Dariyapur Road
3,Aarav Gupta,Bangalore,9574454903,2004-06-10,Male,164 Usmanpura Road
4,Aarav Agarwal,Mumbai,9520216943,2004-08-05,Female,2 Judges Bungalow Road
5,Aarav Singh,Mumbai,9337071852,2004-11-27,Male,86 Satellite Road
6,Aarav Kumar,Bangalore,9137849916,2004-12-14,Female,170 Drive In Road
7,Aarav Mishra,Ahmedabad,9763193447,2004-04-27,Female,23 Lambha Road
8,Aarav Tiwari,Bangalore,9520853613,2004-05-29,Male,157 Bapunagar Road
9,Aarav Dubey,Bangalore,9859414203,2004-09-26,Female,102 Bapunagar Road
10,Aarav Pandey,Bangalore,9359981818,2004-02-14,Female,191 Drive In Road
11,Aarav Chatterjee,Ahmedabad,9475914009,2004-08-26,Female,199 Sector 7 Road
12,Aarav Banerjee,Mumbai,9958139622,2004-08-02,Female,160 Adalaj Road
13,Aarav Mukherjee,Mumbai,9902313834,2004-10-29,Female,73 Gurukul Road
14,Aarav Bhattacharya,Bangalore,9820415694,2004-10-08,Male,113 Ghatlodia Road
15,Aarav Ghosh,Ahmedabad,9615761133,2004-09-14,Female,193 Memnagar Road
16,Aarav Das,Mumbai,9387274479,2004-01-08,Female,6 Amraiwadi Road
17,Aarav Dutta,Surat,9123136497,2004-06-29,Male,161 Bodakdev Road
18,Aarav Sen,Ahmedabad,9650854339,2004-10-04,Female,12 CG Road
19,Aarav Bose,Surat,9282394813,2004-12-23,Male,193 Sarkhej Gandhinagar Road
20,Aarav Roy,Bangalore,9665491095,2004-09-28,Male,178 Relief Road
21,Aarav Patel,Mumbai,9663743950,2004-01-10,Male,127 Naranpura Road
22,Aarav Mehta,Ahmedabad,9495435906,2004-11-26,Male,67 Lake View
23,Aarav Shah,Mumbai,9314617241,2004-12-22,Male,130 Sola Road
24,Aarav Desai,Bangalore,9924523090,2004-09-14,Female,113 Bodakdev Road
25,Aarav Trivedi,Delhi,9558971647,2004-10-02,Male,18 Bodakdev Road
26,Aarav Joshi,Bangalore,9471237992,2004-08-21,Female,127 Bodakdev Road
27,Aarav Pandya,Delhi,9397512334,2004-06-27,Female,145 Prahlad Nagar
28,Aarav Parikh,Ahmedabad,9464278653,2004-02-06,Male,180 Bapunagar Road
29,Aarav Modi,Bangalore,9318706462,2004-12-21,Female,43 Isanpur Road
30,Aarav Vyas,Delhi,9669886713,2004-03-31,Female,146 Ghatlodia Road
31,Aarav Reddy,Mumbai,9957278517,2004-12-24,Female,166 Meghaninagar Road
32,Aarav Naidu,Delhi,9696266626,2004-10-08,Female,132 Gandhi Road
33,Aarav Rao,Surat,9986632016,2004-06-11,Male,136 Gurukul Road
34,Aarav Murthy,Delhi,9131762280,2004-03-14,Male,166 Odhav Road
35,Aarav Iyer,Bangalore,9672130590,2004-07-26,Female,144 Sector 21 Road
36,Aarav Iyengar,Ahmedabad,9245422905,2004-07-15,Female,96 Gandhi Road
37,Aarav Nair,Delhi,9235129457,2004-04-03,Female,90 Science City Road
38,Aarav Menon,Bangalore,9788373499,2004-01-21,Female,161 undefined
39,Aarav Pillai,Mumbai,9608384163,2004-05-11,Female,73 Naranpura Road
40,Aarav Shetty,Bangalore,9090679336,2004-08-15,Female,142 Drive In Road
41,Aarav Kulkarni,Delhi,9382061148,2004-08-11,Female,146 Ring Road
42,Aarav Joshi,Delhi,9962465862,2004-01-26,Male,122 Ambawadi Road
43,Aarav Deshpande,Bangalore,9103713288,2004-11-12,Female,93 undefined
44,Aarav Chavan,Surat,9602562570,2004-02-09,Female,2 Lake View
45,Aarav Patil,Mumbai,9820426835,2004-02-14,Female,1 Ghodasar Road
46,Aarav Sawant,Mumbai,9354557870,2004-07-30,Female,142 Naroda Road
47,Aarav Kadam,Delhi,9337978796,2004-06-13,Female,170 Ghatlodia Road
48,Aarav Jadhav,Mumbai,9323975942,2004-12-18,Female,51 Isanpur Road
49,Aarav Shinde,Surat,9452916020,2004-10-30,Male,122 Lambha Road
50,Aarav More,Bangalore,9043964719,2004-07-16,Male,96 Koba Road
51,Aarav Yadav,Bangalore,9057578392,2004-06-26,Female,11 Dariyapur Road
52,Aarav Chaudhary,Surat,9199173069,2004-01-17,Male,144 Bapunagar Road
53,Aarav Chauhan,Ahmedabad,9998579865,2004-06-10,Female,172 SG Highway
54,Aarav Thakur,Surat,9682225982,2004-01-15,Female,91 Park Street
55,Aarav Rajput,Mumbai,9697282961,2004-06-28,Female,185 Kudasan Road
56,Aarav Solanki,Delhi,9839946344,2004-07-12,Female,46 Ramol Road
57,Aarav Rathore,Surat,9697637112,2004-09-17,Male,190 Jamalpur Road
58,Aarav Sisodia,Surat,9289313149,2004-06-08,Female,148 Makarba Road
59,Aarav Shekhawat,Bangalore,9752290184,2004-08-27,Male,160 Vejalpur Road
60,Aarav Tanwar,Delhi,9873477397,2004-08-05,Female,196 Ghatlodia Road
61,Aarav Bansal,Delhi,9719629376,2004-01-19,Male,61 Kankaria Road
62,Aarav Goyal,Bangalore,9790237049,2004-12-01,Female,88 Amraiwadi Road
63,Aarav Mittal,Surat,9952977224,2004-08-12,Male,62 Shela Road
64,Aarav Jindal,Ahmedabad,9073926753,2004-03-17,Male,9 Prahladnagar Road
65,Aarav Singhal,Delhi,9921073284,2004-10-23,Female,144 Gulbai Tekra Road
66,Aarav Ahuja,Bangalore,9166682351,2004-05-11,Male,148 Chandkheda Road
67,Aarav Arora,Ahmedabad,9753549062,2004-04-19,Male,157 Sector 24 Road
68,Aarav Kapoor,Ahmedabad,9908601521,2004-10-11,Male,45 undefined
